,username,like,reply,retweet,time,text,status
@AgwSnsJp-2023-04-23T15:00:03.000Z,@AgwSnsJp,580,5,5410,2023-04-23T15:00:03.000Z,"Against War
@AgwSnsJp
·
Apr 23
／
 #AgainstWar
リリース直前 #RTキャンペーン 第二弾
10日目
＼

▼応募方法
①
@AgwSnsJP
 をフォロー
②このツイートをRT 
③https://bit.ly/3AmGo0D
上記サイトからTwitter連携をしてその場で抽選!

#アマギフ １万円がその場で当たる! 
RTが多いほどいいことが…! 
 
#AGW #事前登録
5
5,410
580
38.2K",1650152562241458176
@nesta_red-2023-04-29T09:25:43.000Z,@nesta_red,3,0,4,2023-04-29T09:25:43.000Z,"Nesta Red
@nesta_red
·
Apr 29
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
http://tumia.org/en/directory/en/instance.php?tiname=The%20Colossal%20Mistake%20of%20Underestimating%20the%20Death%20Spreading%20Agriculture%20and%20Meat%20Industry&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
Suzan Dahl
@mariusknulst
·
Apr 29
1/3
The UN’s Sustainability Development Goals are part of Agenda 2030 which is part of Agenda 21(21st century)

Watch this brief explanation
Show this thread
3,943 views
0:00 / 1:58
1:57
3,943 views
4
3
229",1652242751600173056
@AgwSns-2023-04-29T09:30:00.000Z,@AgwSns,0,0,0,2023-04-29T09:30:00.000Z,"Against War
@AgwSns
·
Apr 29
There are two types of  ""SEASON PASS"" available.
The ""FREE PASS"" is a course where everyone can receive rewards.
The""AGAINST PASS"" is a course where those who have purchased it in the Shop can receive even more luxurious additional rewards(Rare Cards and more!)
#AGW #AgainstWar
55",1652243827934081024
@AgwSnsJp-2023-04-27T09:00:00.000Z,@AgwSnsJp,33,9,21,2023-04-27T09:00:00.000Z,"Against War
@AgwSnsJp
·
Apr 27
／
AgainstWar
正式リリース
＼

千人千色の戦略！
リアルタイムストラテジーゲーム
『Against War』の正式サービスを
本日4/27(木)18:00より開始いたしました

インストールはこちら
▸Appstore：http://apple.co/3LgAX9Z
▸GooglePlay：http://bit.ly/3UNHf3W

#AGW #AgainstWar
9
21
33
7,708",1651511501482754051
@AgwSnsJp-2023-04-30T09:00:01.000Z,@AgwSnsJp,4,0,1,2023-04-30T09:00:01.000Z,"Against War
@AgwSnsJp
·
2h
【リリース #AgainstWar 基礎講座】
ゲームシステムをご紹介

◤プレイ方法はシンプルで簡単！◢

自分のデッキからランダムに選出されたカードを戦場にフリックして出すだけでOK！
カードが魔法カードであれば即座に効果が発動
兵士カードであれば自動的に敵城へ向かいます

#AGW
1
4
565",1652598668489535488
@AgwSns-2023-04-24T09:00:02.000Z,@AgwSns,6,0,2,2023-04-24T09:00:02.000Z,"Against War
@AgwSns
·
Apr 24
[Global Launch Countdown]

#AgainstWar release is only 3 days away!

Competitive Strategy Battle, AgainstWar
Global Launch on Thursday, April 27 

Pre-register now!
▸Appstore：http://apple.co/3UQhP5C
▸GooglePlay：http://bit.ly/3mOzK04

#AGW
2
6
234",1650424348057161728
@AgwSns-2023-04-27T09:00:01.000Z,@AgwSns,4,0,0,2023-04-27T09:00:01.000Z,"Against War
@AgwSns
·
Apr 27
／
AgainstWar
Global Launch has started 
＼

Today 4/27(Thu) 18:00(JST), the Official service for
the RTS Card Battle, Against War has started !

Click here to install 
▸Appstore：http://apple.co/3LgAX9Z
▸GooglePlay：http://bit.ly/3UNHf3W

#AGW #AgainstWar
4
272",1651511506440265730
@nesta_red-2023-04-29T15:17:55.000Z,@nesta_red,5,0,3,2023-04-29T15:17:55.000Z,"Nesta Red
@nesta_red
·
20h
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
https://tumia.org/en/directory/en/instance.php?tiname=Covid%20World%202022-10-09:%203%20Years%20of%20Cov-Vaccine%20Bioweapons:%20Estimated%20Extra%20Deaths%2031M-Adv.%20Eff.%201.9B&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
Seize the Torch
@saint_lisieux
·
22h
Replying to @superjan
The New World Order = The World Economic Forum (WEF) = One World Government = Build Back Better = The Great Reset = Globalists

#Treason
146 views
0:01 / 0:54
0:53
146 views
3
5
94",1652331382390026240
@AgwSns-2023-04-27T10:00:00.000Z,@AgwSns,3,0,0,2023-04-27T10:00:00.000Z,"Against War
@AgwSns
·
Apr 27
／
Against WarOfficial Discord server Now Open！
＼

Get latest infromation and discuss strategies with other commanders around the world!

Official Discord link:
https://discord.gg/zQWaFMJzdQ

#AGW #AgainstWar
3
238",1651526602705207296
@AgwSns-2023-04-26T09:00:03.000Z,@AgwSns,12,0,16,2023-04-26T09:00:03.000Z,"Against War
@AgwSns
·
Apr 26
／
 #AgainstWar Pre-Launch
#Follow & #RT Campaign 
Day 8
＼

▼How to enter
①Follow 
@AgwSns

②Retweet this tweet 
③https://bit.ly/3LghSUa
Link your Twitter to the above site
→Enter the drawing on the spot!

Chance to win 300 Gold & an #iPhone 14!
#AGW #giveaway
16
12
660",1651149127311581185
@nesta_red-2023-04-29T15:20:45.000Z,@nesta_red,2,0,2,2023-04-29T15:20:45.000Z,"Nesta Red
@nesta_red
·
20h
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
https://tumia.org/en/directory/en/instance.php?tiname=Covid%20World%202022-10-09:%203%20Years%20of%20Cov-Vaccine%20Bioweapons:%20Estimated%20Extra%20Deaths%2031M-Adv.%20Eff.%201.9B&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
M N
@Truth_Only_Way
·
21h
Increasing Members of the European Parliament Are Finally Calling Out Mr Evil Schwab’s ""Great Reset""
7,903 views
0:01 / 2:20
2:19
7,903 views
2
2
82",1652332099121164288
@gamnotch-2023-04-21T10:31:37.000Z,@gamnotch,2,0,0,2023-04-21T10:31:37.000Z,"gamnotch
@gamnotch
·
Apr 21
Asobimo new mobile real-time strategy game Against War will official launch on April 27.
Prepare to build your unique decks for battle opponents to capture a glorious victory then!  
https://agwonline.com
#AGW #AgainstWar #RTS #mobilegames #gamnotch
2
59",1649360231472975872
@AgwSns-2023-04-25T10:00:02.000Z,@AgwSns,10,3,1,2023-04-25T10:00:02.000Z,"Against War
@AgwSns
·
Apr 25
 #AgainstWar
#Preregistration campaign

＼60,000 pre-register goal has been reached!／
 '3000 in-game Silver coin' will be gifted to all Against War players! 

Pre-register now!
▸Appstore：http://apple.co/3LgAX9Z
▸GooglePlay：http://bit.ly/3UNHf3W

#AGW
3
1
10
699",1650801835362639873
@AgwSnsJp-2023-04-29T09:00:02.000Z,@AgwSnsJp,6,0,1,2023-04-29T09:00:02.000Z,"Against War
@AgwSnsJp
·
Apr 29
【リリース #AgainstWar 基礎講座】
バトルカードをご紹介

◤90種のカードからオリジナルデッキを編成◢

戦闘に必要な歩兵や騎兵、投石機といったユニットのカードを組み合わせてオリジナルデッキを編成！
美麗なイラストと様々な効果を持つ90種のカードを駆使し勝利を目指そう

#AGW
1
6
1,046",1652236285090603008
@AgwSns-2023-04-25T09:00:02.000Z,@AgwSns,4,0,1,2023-04-25T09:00:02.000Z,"Against War
@AgwSns
·
Apr 25
[Global Launch Countdown]

#AgainstWar release is only 2 days away!

Real-Time Strategy Card Battle ""AgainstWar"".
Global Launch on Thursday, April 27 

Pre-register now!
▸Appstore：http://apple.co/3UQhP5C
▸GooglePlay：http://bit.ly/3mOzK04

#AGW
1
4
270",1650786734328905728
@AgwSns-2023-04-25T09:00:03.000Z,@AgwSns,7,0,8,2023-04-25T09:00:03.000Z,"Against War
@AgwSns
·
Apr 25
／
 #AgainstWar Pre-Launch
#Follow & #RT Campaign 
Day 7
＼

▼How to enter
①Follow 
@AgwSns

②Retweet this tweet 
③https://bit.ly/3L053Ns
Link your Twitter to the above site
→Enter the drawing on the spot!

Chance to win 300 Gold & an #iPhone 14!
#AGW #giveaway
8
7
501",1650786739588575232
@AgwSnsJp-2023-04-27T09:15:00.000Z,@AgwSnsJp,5,1,1,2023-04-27T09:15:00.000Z,"Against War
@AgwSnsJp
·
Apr 27
【シーズンイベント】
1stシーズンがスタートしました

シーズン中はオンライン対戦で手に入る
「パスポイント」の獲得数に応じて
シーズンパスが進み、段階によって
様々な報酬を獲得することが出来ます！
たくさんバトルしてシーズンパスを進めましょう！

#AGW #AgainstWar
1
1
5
2,184",1651515276415082497
@AgwSns-2023-04-28T09:00:01.000Z,@AgwSns,4,0,0,2023-04-28T09:00:01.000Z,"Against War
@AgwSns
·
Apr 28
【Against War Tips】

We will be sharing informations and tips about Against War!

Those who wants to know further details on the game such as how the battle system works, stay tuned!

#AGW
4
95",1651873894318440449
@AgwSnsJp-2023-04-29T09:30:00.000Z,@AgwSnsJp,4,0,2,2023-04-29T09:30:00.000Z,"Against War
@AgwSnsJp
·
Apr 29
シーズンパスは2種類あります
「FREE PASS」は全員がパスポイントによって報酬を獲得できるコースです。
「AGAINST PASS」はショップ内でAGAINST PASSを購入した人が、より豪華な追加報酬を獲得できるコースです。
レアカードなども手に入りますのでぜひ内容をご確認ください！

#AGW #AgainstWar
2
4
934",1652243828542431232
@AgwSns-2023-04-23T09:00:03.000Z,@AgwSns,5,0,8,2023-04-23T09:00:03.000Z,"Against War
@AgwSns
·
Apr 23
／
 #AgainstWar Pre-Launch
#Follow & #RT Campaign 
Day 5
＼

▼How to enter
①Follow 
@AgwSns

②Retweet this tweet 
③https://bit.ly/3N5qnDS
Link your Twitter to the above site
→Enter the drawing on the spot!

Chance to win 300 Gold & an #iPhone 14!
#AGW #giveaway
8
5
471",1650061964209709056
@AgwSns-2023-04-22T09:00:02.000Z,@AgwSns,2,0,0,2023-04-22T09:00:02.000Z,"Against War
@AgwSns
·
Apr 22
[Global Launch Countdown]

#AgainstWar release is only 5 days away!

We will be counting down every day starting today!
Global Launch on Thursday, April 27 

Pre-register now!
▸Appstore：http://apple.co/3UQhP5C
▸GooglePlay：http://bit.ly/3mOzK04

#AGW
2
142",1649699573034635265
@AmyntorGaming-2023-04-28T18:13:09.000Z,@AmyntorGaming,0,0,0,2023-04-28T18:13:09.000Z,"Amyntor Gaming
@AmyntorGaming
·
Apr 28
Don't forget no #AGW this weekend as it's my birthday weekend. Next weekend, though, be prepared for #AGWSeason6 as we kick it off with our #ScoutingFrenzy month.
17",1652013093994782721
@RIRI_RARA422-2023-04-27T09:43:42.000Z,@RIRI_RARA422,10,0,0,2023-04-27T09:43:42.000Z,"リリ'ララ ~流離日記~
@RIRI_RARA422
·
Apr 27
#アゲスト
#AGW

当たり前の事だけど～
戦術次第ですね～

意外と面白かった～

ﾆｬｯ!
10
574",1651522501334437888
@IAmTheFyre-2023-04-26T16:42:08.000Z,@IAmTheFyre,2,0,0,2023-04-26T16:42:08.000Z,"Kelly Lynn Weston #ThankYouFrozenInferno 
@IAmTheFyre
·
Apr 26
feels crazy not putting a show together but looking forward to #AGWScoutingFrenzy in 2 weeks, see yall there, much love 

ready to use the Momentum of being Co-GM of The Year and my experiences for Season 6

thank you again #AGW
2
34",1651265415513882627
@nesta_red-2023-04-29T15:23:14.000Z,@nesta_red,2,0,0,2023-04-29T15:23:14.000Z,"Nesta Red
@nesta_red
·
19h
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
https://tumia.org/en/directory/en/instance.php?tiname=Covid%20World%202022-10-09:%203%20Years%20of%20Cov-Vaccine%20Bioweapons:%20Estimated%20Extra%20Deaths%2031M-Adv.%20Eff.%201.9B&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
GoldeNLemonZ
@GoldeN_LemonS81
·
Apr 29
 Klaus Schwab‘s father was basically a Nazi that ran forced labor camps…

This is probably why he was chosen or had the privilege of running the great reset….

If you don’t know who he is you need to do more research on the world economic forum…
2,621 views
0:01 / 0:55
2
77",1652332723594227715
@nesta_red-2023-04-28T12:35:16.000Z,@nesta_red,2,0,2,2023-04-28T12:35:16.000Z,"Nesta Red
@nesta_red
·
Apr 28
The #elites(#GT,#LDS..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
http://tumia.org/en/directory/en/instance.php?tiname=The%20Colossal%20Mistake%20of%20Underestimating%20the%20Death%20Spreading%20Agriculture%20and%20Meat%20Industry&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
Suzan Dahl
@mariusknulst
·
Apr 28
1500 private jets at the Masters Tournament
 Net Zero clearly doesn't apply to the 'elites'
2
2
135",1651928062315966465
@AgwSnsJp-2023-04-27T10:10:00.000Z,@AgwSnsJp,6,0,1,2023-04-27T10:10:00.000Z,"Against War
@AgwSnsJp
·
Apr 27
【ゲーム内プロフィール画面への行き方】

ロビー左上の
「ソーシャル」ボタンをクリック！

プロフィール内では、
過去の対戦履歴が確認できます！
リプレイボタンを押すと再生もできますので、
ぜひ次のバトルの参考にお使いください！
素敵なバトルはいいねを押しましょう！

#AGW
1
6
2,367",1651529117622321153
@AgwSnsJp-2023-04-27T09:45:00.000Z,@AgwSnsJp,2,0,3,2023-04-27T09:45:00.000Z,"Against War
@AgwSnsJp
·
Apr 27
アンケート開催

指揮官の皆様
Against Warをプレイいただいた方に
アンケートを実施しております。
アンケートはゲーム内ホームにて
「アンケート」ボタンから回答いただけます。

ご協力のほど、よろしくお願いいたします。

#AGW #AgainstWar
3
2
1,326",1651522826074193920
@PaulCarfoot-2023-04-24T11:24:36.000Z,@PaulCarfoot,0,0,1,2023-04-24T11:24:36.000Z,"Paul C
@PaulCarfoot
·
Apr 24
Great Barrier Reef in record coral cover but 97% of Australians don’t know it. https://joannenova.com.au/2023/04/great-barrier-reef-in-record-coral-cover-but-97-of-australians-dont-know-it/… #AGW #Climate
1
45",1650460727625277440
@nesta_red-2023-04-29T09:50:19.000Z,@nesta_red,2,0,0,2023-04-29T09:50:19.000Z,"Nesta Red
@nesta_red
·
Apr 29
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
http://tumia.org/en/directory/en/instance.php?tiname=The%20Colossal%20Mistake%20of%20Underestimating%20the%20Death%20Spreading%20Agriculture%20and%20Meat%20Industry&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
 mocking the PEOPLE
@alextopol
·
Apr 29
David Rockefeller, mentor of Henry Kissinger who was mentor to Klaus Anal Schwab, talking about culling the human herd when it reaches 8 billion in 2020. 

This has all been planned for many decades.
1,160 views
0:01 / 1:10
1:09
1,160 views
2
42",1652248942380302336
@AgwSns-2023-04-21T09:00:03.000Z,@AgwSns,7,0,6,2023-04-21T09:00:03.000Z,"Against War
@AgwSns
·
Apr 21
／
 #AgainstWar Pre-Launch
#Follow & #RT Campaign 
Day 3
＼

▼How to enter
①Follow 
@AgwSns

②Retweet this tweet 
③https://bit.ly/3N0mQGU
Link your Twitter to the above site
→Enter the drawing on the spot!

Chance to win 300 Gold & an iPhone14!
#AGW #giveaway
6
7
505",1649337189418008578
@_Agenda2030-2023-04-25T10:04:34.000Z,@_Agenda2030,3,0,3,2023-04-25T10:04:34.000Z,"Agenda2030
@_Agenda2030
·
Apr 25
#GlobalWarming 11.00am, 25 April 2023, England #UK

#ClimateScam #Agenda2030 #Fake $cience #AGW #WEF
3
3
124",1650802973973381122
@IAmTheFyre-2023-04-25T16:24:59.000Z,@IAmTheFyre,2,0,0,2023-04-25T16:24:59.000Z,"Kelly Lynn Weston #ThankYouFrozenInferno 
@IAmTheFyre
·
Apr 25
bye New Orleans, thank you for having us, much love #AGW
2
17",1650898708878311429
@TedsGhost-2023-04-29T08:38:01.000Z,@TedsGhost,0,0,0,2023-04-29T08:38:01.000Z,"Deplorable Ted
@TedsGhost
·
Apr 29
#AGW is simply a path to profits for the rich
instagram.com
Johal_capital (@johal_capital) • Instagram reel
10",1652230748122804226
@AgwSnsJp-2023-04-26T09:00:01.000Z,@AgwSnsJp,15,1,9,2023-04-26T09:00:01.000Z,"Against War
@AgwSnsJp
·
Apr 26
◤ 正式リリースカウントダウン◢

#AgainstWarリリースまであと日

指揮官となって自軍を勝利に導け！
RTSゲーム『AgainstWar』
4/27(木)18:00正式リリース

今すぐ事前登録！
▸Appstore：http://apple.co/3LgAX9Z
▸GooglePlay：http://bit.ly/3UNHf3W

#AGW
1
9
15
3,778",1651149118415446016
@PaulCarfoot-2023-04-29T18:44:14.000Z,@PaulCarfoot,0,0,0,2023-04-29T18:44:14.000Z,"Paul C
@PaulCarfoot
·
16h
'Destroyer Of Worlds' https://realclimatescience.com/2023/04/destroyer-of-worlds/… 
https://youtube.com/watch?v=byDT1mQ5fUg… #AGW #Climate
youtube.com
Destroyer Of Worlds
We are told that anyone who drives a car is now a destroyer of the world.
19",1652383307529691136
@AgwSnsKr-2023-04-27T09:45:00.000Z,@AgwSnsKr,0,0,0,2023-04-27T09:45:00.000Z,"Against War
@AgwSnsKr
·
Apr 27
설문조사 진행중

지휘관 여러분
Against War를 플레이해주신 분들을 대상으로
설문조사를 진행하고 있습니다.

게임내 홈 화면에서 ""설문조사"" 버튼을 통해
참여하실 수 있습니다.

부디 많은 참여 부탁드립니다.

#AGW #AgainstWar
97",1651522826090975233
@AgwSnsZh-2023-04-27T09:15:00.000Z,@AgwSnsZh,0,0,0,2023-04-27T09:15:00.000Z,"Against War
@AgwSnsZh
·
Apr 27
【賽季活動】
賽季１開啓

通過本賽季中綫上對戰所獲得的「賽季積分」纍加，
將根據開放的不同段位，獲得賽季通行證中相應的獎勵！
請大家盡情對戰，通關賽季通信證吧！

#AGW #AgainstWar
90",1651515276415094784
@nesta_red-2023-04-29T15:14:12.000Z,@nesta_red,0,0,0,2023-04-29T15:14:12.000Z,"Nesta Red
@nesta_red
·
20h
The #elites(#WEF,#UN..)have no intention of solving #AGW+#ClimateChange for the people. Their true solution, currently executing, is mass #depopulation+#totalitarian #control by #Covid+""#vaccine""#bioweapons,#SocialCredit #CDBC,#poisoning,#starvation,#war..
https://tumia.org/en/directory/en/instance.php?tiname=Covid%20World%202022-10-09:%203%20Years%20of%20Cov-Vaccine%20Bioweapons:%20Estimated%20Extra%20Deaths%2031M-Adv.%20Eff.%201.9B&relationship=All&drsid=0&pisid=0&tiname_dno=1&page=1…
Quote Tweet
DonCamillo1984
@Camillo68523381
·
Apr 29
Agenda 21 becomes Agenda 2030. Explained in a nutshell by G. Edward Griffin.

Other names for the same thing are:
UN Agenda
New World Order
The Great Reset
The 4th Industrial Revolution
Green Deal.
First posted on 21-SEP-2021.
For more information refer to https://coercioncode.com/2020/10/21/the-globalist-agenda-the-covid-plandemic-is-just-the-beginning/…
26",1652330448620605440
@AgwSnsJp-2023-04-28T09:05:00.000Z,@AgwSnsJp,8,0,0,2023-04-28T09:05:00.000Z,"Against War
@AgwSnsJp
·
Apr 28
【リリース #AgainstWar 基礎講座】

バトルで描かれるのは、
中世ヨーロッパをイメージさせる
剣と魔法のファンタジー世界
を舞台にした攻城戦！

戦争が長く続いている世界
民のために立ち上がり
果てしなく続く戦いに終止符を打とう！

公式サイトはコチラ
https://ja.agwonline.com/?l=ja
#AGW
8
1,491",1651875148310495242
@_Agenda2030-2023-04-25T12:10:23.000Z,@_Agenda2030,1,0,0,2023-04-25T12:10:23.000Z,"Agenda2030
@_Agenda2030
·
Apr 25
#GlobalWarming 13.10 hours, 25 April 2023, England #UK 

#ClimateScam #Agenda2030 #Fake $cience #AGW #WEF
1
57",1650834640083599366
@AgwSnsZh-2023-04-27T09:45:00.000Z,@AgwSnsZh,0,0,0,2023-04-27T09:45:00.000Z,"Against War
@AgwSnsZh
·
Apr 27
問卷調查中

各位指揮官，
在游戲大廳右上方設置有調查問卷按鈕，
希望Against War的各位玩家能協助填寫問卷。

感謝您的耐心與協助！

#AGW #AgainstWar
106",1651522826204233728
@OscarsWild1-2023-04-26T14:08:36.000Z,@OscarsWild1,1,0,0,2023-04-26T14:08:36.000Z,"King Arthur & Excalibur
@OscarsWild1
·
Apr 26
Your choices of the #AGW #ClimateChange #Marxist are ..

1. He finally realizes and we are making progress
2. He cannot argue against any of my points and does not care as he has an agenda to manipulate others to get him what he wants?

You pays your money, you takes your choice
Quote Tweet
Ben Moore
@benmooreau
·
Apr 26
Replying to @OscarsWild1 @Veritatem2021 and 46 others
Find myself laughing for the same reason.

Go wider, man! Now, indeed, I can see how insignificant the latest warming has been...
and... how insignificant homo sapiens... mammals... vertebrates have all been.
1
86",1651226777178521600
